labels,name,theme,동영상 제목,댓글,댓글 작성일,PRO
0,배틀그라운드,운영,방금 패치되고 난리난 배그(다달라짐)😳,핵쟁이들 핵처럼 안보이려고 블루칩 들고 다닐거 같은데?,2023-06-12T08:37:16Z,핵쟁이들 핵처럼 안보이려고 블루칩 들고 다닐거 같은데 
0,메이플,게임성,[메이플스토리 IGNITION] 출진(出陣),시그너스 귀여운 목소리였는데 많이 어른스러워졌네,2023-10-28T14:12:36Z,시그너스 귀여운 목소리였는데 많이 어른스러워졌네
0,리니지,조작,배틀 크러쉬 (3) - 타격감 1티어! NC다이노스 단디 #배틀로얄 #nc소프트 #엔씨소프트 #리니지,메두사도..부탁드립니다,2023-10-30T11:32:55Z,메두사도  부탁드립니다
0,신의탑,운영,신의탑 새로운세계 바캉스 이벤트 보상 공개! ㄷㄷ 후속 조치와 소통창구까지 ㄷㄷ [TOWER OF GOD NEW WORLD],전 소환20회로 천장ssr+ 비올레 나왔은데 좋..나요?(비올레 넘약함ㅠㅠ),2023-08-19T09:36:39Z,전 소환20회로 천장ssr  비올레 나왔은데 좋  나요  비올레 넘약함 
0,검은사막,게임성,검은사막..? 몬스터 헌터 월드..? ㅎㄷㄷ,몬헌 법사클래스인가 그런데 법사가 어질 죽이네요 질풍활 수준이네,2021-09-23T00:29:52Z,몬헌 법사클래스인가 그런데 법사가 어질 죽이네요 질풍활 수준이네
0,검은사막,BM,[검은사막M] 현금 200만원! 신규 뽑기 진귀한상자! 과연 얼마나 좋을가?,님들 바바티비 모르면 요즘은 흑우소리 듣는다면서요? 저는 오늘알았는데 ..,2020-08-26T08:14:00Z,님들 바바티비 모르면 요즘은 흑우소리 듣는다면서요  저는 오늘알았는데   
0,배틀그라운드,사운드,배그 로비BGM을 국악🇰🇷으로 연주해 보았습니다 (PUBG Season 4 Main Theme with Korean Orchestra) | 배틀그라운드,개 촌스럽노 ... 핵이나잡아,2020-08-24T08:15:12Z,개 촌스럽노     핵이나잡아
0,로스트아크,운영,[로스트아크] 현재 otp설정을 해도 해킹 당하는 로스트아크 보안 상태,이분 아브렐슈드 지역챗에 올라오는 그분임?,2022-10-01T05:28:58Z,이분 아브렐슈드 지역챗에 올라오는 그분임 
0,메이플,게임성,끝에 가까운 곳 (Subterminal Point)｜메이플스토리 OST : 테네브리스 (MapleStory OST : Tenebris),도입부에서 압박감 지린다 ㄷㄷ;,2023-07-23T11:49:24Z,도입부에서 압박감 지린다 ㄷㄷ 
0,제2의나라,게임성,[제2의나라] 원신급 초호화 성우 캐스팅! 진격의 거인 '리바이' 성우 '카미야 히로시' 외 피슬과 클레 성우도 참여! [1편 일본어 성우편] | 넷마블X지브리,2:54 ?내가 하고 지웠던 게임이다!,2021-05-25T12:01:31Z,내가 하고 지웠던 게임이다 
0,메이플,게임성,드디어.. 큰거 온다... [메이플스토리/명훈],제발 명훈님 턱걸고 좋은 결과....,2023-06-10T02:29:05Z,제발 명훈님 턱걸고 좋은 결과    
0,메이플,사운드,메이플스토리 BGM - 배경음악,특유의 설렘이 있음,2023-01-07T06:33:46Z,특유의 설렘이 있음
0,리니지,BM,리니지M PVP리덕션의 비밀을 알아냈습니다! 1000만원 사기 당함? 안당함?,추천 박고 갑니다.,2022-04-22T00:03:35Z,추천 박고 갑니다 
0,배틀그라운드,조작,[배틀그라운드] 촌스럽게 누가 총을 끊어? / 낙하데미지 안 받는 법?! 낙뎀줄이기,자고로 1탄창 1샷이라고 하죠ㅎㅎ저런 끈질김이 라리님을 만드신게 아닐까하는 생각이드네요ㅎ 우리모두 코로나 안심할때가 아닙니당 항상 조심하시길^~^,2020-04-06T12:29:01Z,자고로 1탄창 1샷이라고 하죠ㅎㅎ저런 끈질김이 라리님을 만드신게 아닐까하는 생각이드네요ㅎ 우리모두 코로나 안심할때가 아닙니당 항상 조심하시길   
0,검은사막,무소속,"최후의 고대인, 세이지 | 개발자 코멘터리 [검은사막]",복귀각 잰다 그리고 랏항구 쪽 대륙은 언제 열림?,2021-03-16T09:22:26Z,복귀각 잰다 그리고 랏항구 쪽 대륙은 언제 열림 
0,메이플,그래픽,[메이플]달팽이 세마리 커스터마이징 / Maple Story Three snails customizing Video[KMS],이정도면 히어로보다는..,2021-02-11T16:14:00Z,이정도면 히어로보다는  
0,검은사막,무소속,전승소서 논문을 써오신 KR NO.1 동방님께 배우는 전승소서러 장인초대석 -  검은사막,커여운 우리 샤이도 한번 다뤄주세요~~,2023-08-25T04:12:23Z,커여운 우리 샤이도 한번 다뤄주세요  
0,신의탑,그래픽,신의탑 새로운세계 신규캐릭터 유출 우렉마지노 하진성 호아퀸 하유리 쿤란 등 15종 속성까지?! [TOWER OF GOD NEW WORLD],우렉마지노...갖고싶다..,2023-08-22T09:15:07Z,우렉마지노   갖고싶다  
0,신의탑,무소속,신의탑 3부 146화 리뷰ㅣ밤의 정실 등장,미리보기 지금 할까요 말까요? 아직 미리보기 한 개도 안 봤는데 나중에 재밌어지면 한꺼번에 하는 게 맞나요,2023-05-14T18:12:11Z,미리보기 지금 할까요 말까요  아직 미리보기 한 개도 안 봤는데 나중에 재밌어지면 한꺼번에 하는 게 맞나요
0,로스트아크,무소속,[로스트아크] 요즘 진짜 심각한 랏폿난 근황,서폿 삭제하고 피흡만들어라,2023-11-07T00:01:25Z,서폿 삭제하고 피흡만들어라
0,리니지,BM,리니지2레볼루션 무과금 직업추천 케릭터 TOP5,고헌/듀얼 드노  악세 추천좀 해주세요,2021-08-27T05:48:05Z,고헌 듀얼 드노  악세 추천좀 해주세요
0,리니지,무소속,드디어 삽니다!!) 제 인생에 리니지에 이렇게 돈 써보기는 처음입니다 #불도그 #리니지M #리니지,살왜이리쪘냐 ㅡㅡ 개놀랬네,2023-09-14T01:40:58Z,살왜이리쪘냐 ㅡㅡ 개놀랬네
0,메이플,게임성,"메이플 필수 메할일 몬스터파크의 모든 것 총 정리![메이플스토리, 노우주]",몬파 저렙에서는 효율이 확 느껴짐버닝때 106찍고나서 경험치통 90%대에서 몬파 돌면 두번업(3씩 2번이니 6업) 되버리고일요일에 하면 세번업(3씩 3번이니 9업)되버리는 ㅎㅎ,2023-07-08T16:14:42Z,몬파 저렙에서는 효율이 확 느껴짐 버닝때 106찍고나서 경험치통 90 대에서 몬파 돌면 두번업 3씩 2번이니 6업  되버리고 일요일에 하면 세번업 3씩 3번이니 9업 되버리는 ㅎㅎ
0,리니지,그래픽,그래픽만 리니지인 줄 알았는데 렙업 속도도 리니지,아니 누갓겜 추첨 왜 파판14 없냐 ? 안하지않음 ?,2022-04-03T12:12:43Z,아니 누갓겜 추첨 왜 파판14 없냐   안하지않음  
0,리니지,무소속,[Lineage2M] 리니지2M 스페셜 영상 IV (TJ’s NEWS),도대체 한국인들 생각 없는게 욕할거면 대표만 욕하지 애는 왜 욕하냐 개 무개념들아 애는 뭔죈데 한국인 몇몇 인성 밑바닥 치는건 알아도 이렇게 무개념일줄이야,2019-12-01T12:57:52Z,도대체 한국인들 생각 없는게 욕할거면 대표만 욕하지 애는 왜 욕하냐 개 무개념들아 애는 뭔죈데 한국인 몇몇 인성 밑바닥 치는건 알아도 이렇게 무개념일줄이야
0,로스트아크,무소속,"로스트아크 길드 종합 가이드, 길드장부터 길드원까지 필수 시청!!",와…길드 가입해둔게 어느순간길드장되서 뭘 해야 할지 몰랐는데,2023-06-14T18:22:46Z,와 길드 가입해둔게 어느순간 길드장되서 뭘 해야 할지 몰랐는데
0,배틀그라운드,그래픽,[배틀그라운드] 뜨뜨뜨뜨(DDDD) - 『솔큐』 에땁 (AWM) 레드 도트로 킬을 해야 하는데 강제 치킨 먹었네요. ㅎㅎㅎ,O형은 다퍼주는 혜자형임 근데 난 B형인데 진짜 구라안까고 공원 30분있었는데 몸전체에 80발? 다리한짝에만 30발넘게 물렸었는데,2019-06-24T15:46:15Z,O형은 다퍼주는 혜자형임 근데 난 B형인데 진짜 구라안까고 공원 30분있었는데 몸전체에 80발  다리한짝에만 30발넘게 물렸었는데
0,메이플,게임성,메이플 몬스터 라이프 만렙 [하루 만에] 찍어보기,자동 방출 기능 만  있어도,2023-01-14T01:03:55Z,자동 방출 기능 만  있어도
0,검은사막,무소속,"[검은사막] 시즌 졸업 조건과 졸업 이후 해야 할 필수적인 일, 4가지!",푸가르의선물 퀘스트가없어요ㅜㅜ,2023-06-12T14:05:10Z,푸가르의선물 퀘스트가없어요
0,제2의나라,운영,[제2의나라 서버분위기][제2의나라 업데이트 분석][제2의나라 9월9일 업데이트][二之國][Ni No Kuni: Cross Worlds - GoldEvent] [ニノクロ]ニノ国,오 쏙쏙. 업댓 될 때 머되는지 훅 지나가기 일쑤인데 잘 정리되있어서 좋네욥,2021-09-10T09:14:12Z,오 쏙쏙  업댓 될 때 머되는지 훅 지나가기 일쑤인데 잘 정리되있어서 좋네욥
0,검은사막,조작,[검은사막M]💥미친 타격감 범위기 잡기까지? 신규클래스『이그니우스 플레이 영상 공개』,처음으로 남캐 해보고 싶은데?,2023-03-11T08:18:01Z,처음으로 남캐 해보고 싶은데 
0,리니지,BM,리니지M 문양 초기화 다들 잘 뜨셨나요!? (확률 변경은 필수!?) 대리컨텐츠 天堂M LineageM,소과금은 5시가 졸업이죠,2022-02-26T11:14:13Z,소과금은 5시가 졸업이죠
0,배틀그라운드,조작,뜨뜨무빙을 이을 신무빙 최초 공개합니다(+초보자 꿀팁 공개) [태민98 배틀그라운드],연습해봐야겠다 좋은정보감사합니다,2023-04-29T22:50:54Z,연습해봐야겠다 좋은정보감사합니다
0,로스트아크,그래픽,싱크로율 99.9% 캐릭터 커스터마이징의 한계를 보여주는 장인들의 닮은꼴 커마 대회ㅣ로스트아크,빨간 가면이 나옴으로써 '명분'이 서버렸다,2022-09-03T11:08:13Z,빨간 가면이 나옴으로써  명분 이 서버렸다
0,신의탑,BM,신의탑 새로운세계 무소과금 1티어 등급표 총정리 이거보고 뽑으세요!![TOWER OF GOD NEW WORLD],에반켈 나왔는데 리세 할까요?,2023-08-17T11:15:31Z,에반켈 나왔는데 리세 할까요 
0,신의탑,BM,신의탑: 새로운 세계] 극초반을 위한! 반드시 도움되는 성능 티어표와 그 이유! 추천 덱 구성까지! 꼭 확인하세요!,이게임 SSR+ 1개 확정인건가요?,2023-07-28T10:06:39Z,이게임 SSR  1개 확정인건가요 
0,배틀그라운드,조작,이제는 고통을 즐깁니다 ㅎㅎ.. +핵사냥 [배틀그라운드 로자르],마지막 핵 믿고 깝치다 벽 앞에 무릎 꿇었쥬~,2021-01-13T04:41:25Z,마지막 핵 믿고 깝치다 벽 앞에 무릎 꿇었쥬 
0,제2의나라,게임성,"넷마블 신작 '제2의 나라', 100레벨 플레이 모습은?",소드맨이 메테오 스트라이크를 쓰네 ㄷㄷ,2021-06-07T04:19:33Z,소드맨이 메테오 스트라이크를 쓰네 ㄷㄷ
0,배틀그라운드,그래픽,배그 신규 스킨으로 역대급 헤어스타일과 핑크 의상이 왕창 출시했습니다!,이모트에 표정 애니메이션도 들어갔네요,2023-05-17T08:00:56Z,이모트에 표정 애니메이션도 들어갔네요
0,메이플,조작,[메이플스토리 맑음] 포레스트 블래스트 완벽 공략! 누구나 할 수 있는 직업별 3~5분 컷 루트 / 보스별 패턴 & 기믹 총정리 / 포레스트 블래스트 빌드 총정리,그냥 뇌빼고 할수 있는 미니게임 만들어줘...😅,2023-09-26T06:41:57Z,그냥 뇌빼고 할수 있는 미니게임 만들어줘    
0,로스트아크,사운드,로스트아크 OST 모음 | 브금 연속재생 | 2시간 30분,레온하트 인트로만 들어도 눈물버튼 ㅠ,2022-06-20T10:45:43Z,레온하트 인트로만 들어도 눈물버튼 
0,검은사막,BM,봄 시즌 뉴비 캐릭터 추천 TOP 5 [검은사막],스킬은 요고요고를 쓰면 되는군요...,2023-03-07T04:51:25Z,스킬은 요고요고를 쓰면 되는군요   
0,검은사막,무소속,[검은사막] 점령전 리포트 LIVE - 23년 7월 2주차,메디아쪽은 해상전이 인상깊네요. 대양쪽 위치렉 같은건 여전한데 개선이 필요할것 같긴합니다. 방송덕에 즐거운 거점전 잘 보았습니다 :D,2023-07-19T05:43:20Z,메디아쪽은 해상전이 인상깊네요  대양쪽 위치렉 같은건 여전한데 개선이 필요할것 같긴합니다   방송덕에 즐거운 거점전 잘 보았습니다  D
0,메이플,사운드,메이플스토리 약빤 브금,메이플 신규몬스터 목이(모기)버섯 창법,2023-10-29T23:40:40Z,메이플 신규몬스터 목이 모기 버섯 창법
0,메이플,운영,"「대규모 밸패」 3월 밸런스 패치 간단 요약 [메이플스토리, 페이지]",뜬금없이 플위 최종댐 너프 처먹고 있네,2023-03-17T15:58:53Z,뜬금없이 플위 최종댐 너프 처먹고 있네
0,신의탑,운영,신의탑M이 모바일 게임으로 나왔다고 해서 한번 플레이 해봤습니다 [PC버전],나니!? 잠깐 광고? 거기다가 내가 제일 좋아하는 신의탑?!?! 이건 못참지,2022-04-24T09:33:25Z,나니   잠깐 광고  거기다가 내가 제일 좋아하는 신의탑     이건 못참지
0,검은사막,그래픽,🎨커마학개론🖌️ with 와꿀님 - 신규 클래스 우사 커스터마이징 | 검은사막,와아~~~꿀님이시댜~  커마만 이뿐게아니고어쩜 이렇게 말씀도 예쁘게잘하세요  K-뷰티~ 우사커마공유해주신거 다예뻐서 매일매일바꾸고싶어졌어요 밸류를 부르는 커마장인~,2023-01-02T17:29:40Z,와아   꿀님이시댜   커마만 이뿐게아니고어쩜 이렇게 말씀도 예쁘게잘하세요  K 뷰티  우사커마공유해주신거 다예뻐서 매일매일바꾸고싶어졌어요 밸류를 부르는 커마장인 
0,제2의나라,BM,[제2의나라] 사냥 효율을 2배로 올릴 8가지 무과금 셋팅가이드 -  꼭 지켜주세요,이마젠 각성 너무 터져요ㅠ.ㅠ 16은 되는데 50% 5연속터지구..ㅠ,2021-06-24T13:29:24Z,이마젠 각성 너무 터져요  16은 되는데 50  5연속터지구  
0,메이플,사운드,옛날 메이플 브금 모음,배타고 30분걸려 신대륙 가던 때가 생각난다 배안에서 잠수타면 괜찮은데 배밖이면 갑자기 소환된 발록때문에 죽어서 다시 30분동안 배탔던 기억이,2023-10-22T16:48:02Z,배타고 30분걸려 신대륙 가던 때가 생각난다 배안에서 잠수타면 괜찮은데 배밖이면 갑자기 소환된 발록때문에 죽어서 다시 30분동안 배탔던 기억이
0,배틀그라운드,사운드,배그 2022년 사운드 설정법! 이퀄라이저 설정 무료 프로그램!,여기 댓글 다신분들중에 제일 많이 물어본게 총소리 작게 어떻게 하는방법 알려 달라는건데 그거에대한 저도궁금 합니다 좀 알려주세요~~~~~~~~~,2022-12-30T12:02:40Z,여기 댓글 다신분들중에 제일 많이 물어본게 총소리 작게 어떻게 하는방법 알려 달라는건데 그거에대한 저도궁금 합니다 좀 알려주세요         
0,리니지,BM,[리니지M] 무과금도 충분하게 좋은 광전사 클래스 리뷰 (2023 클래스 리뷰 2편),근데 요즘은 잠수 못하나요? 자꾸 팅겨버리던데..폰유저라 ㅎ,2023-10-30T06:43:46Z,근데 요즘은 잠수 못하나요  자꾸 팅겨버리던데  폰유저라 ㅎ
0,메이플,운영,"[메이플] 신규반지, 크뎀링 효율 분석 및 이벤트링 교체 타이밍, 어떤 이벤트링을 써야 하는지 까지 이벤트링에 관한 모든 걸 정리해봤습니다.",비숍은 어떤 링을 받는게 좋을까요..?,2023-09-30T02:17:15Z,비숍은 어떤 링을 받는게 좋을까요   
0,로스트아크,그래픽,"디아블로4 쿼터뷰 장르 ""단순 그래픽"" 비교 (오픈 베타 버전) [D3 / Di / D2R / PoE / PoE2 / 로아]",로아가 디테일에서 디4  못따라간다,2023-04-01T13:22:30Z,로아가 디테일에서 디4  못따라간다
0,리니지,조작,[리니지M] 전 이제 사냥에 미친놈입니다 ㅋㅋㅋㅋㅋㅋㅋ 예배당만 갑니다,아이디 예배랜드 ㄱㄱ,2023-06-04T10:19:36Z,아이디 예배랜드 ㄱㄱ
0,리니지,BM,리니지M 보스 소환 막대 이벤트! 근데 이것 조차 확률!? 11월 1일 업데이트 5분 핵심 정리! 天堂M LineageM,파란색막대에서 얼여 잡고 뽑기권 성물2인형1변신2나왔습니다 그지보스..,2023-11-01T00:35:24Z,파란색막대에서 얼여 잡고 뽑기권 성물2인형1변신2나왔습니다 그지보스  
0,리니지,운영,"[리니지M] 갑작스러운 대규모 업데이트 관련 떡밥이 나왔습니다, 시기가 너무 이상한데? 뭔가 통합을 한다는 내용인 것 같은데... (11월 8일 인사이드M 소식)",클래스 융합은 무슨 생각으로 말하는거지...,2023-11-02T15:05:54Z,클래스 융합은 무슨 생각으로 말하는거지   
0,신의탑,무소속,[신의탑] - 두고보자..롸리더가 랭커만 되면 제일 강하다...(고대종 하이랭커:라크 레크레이셔),라크 신수로 된 방 하나도 못만드는데 고대종이니까 막 돌의 방 이런거 만드는거 아니냐,2021-06-12T14:51:40Z,라크 신수로 된 방 하나도 못만드는데 고대종이니까 막 돌의 방 이런거 만드는거 아니냐
0,로스트아크,BM,한국인이 좋아하는 속도의 현질 [로스트아크 모코코의 하루 3일차],2:59 이 사람은 머리는 안 풍성하지만 마음은 참으로 풍성하ㄱ...,2022-10-13T05:48:18Z,이 사람은 머리는 안 풍성하지만 마음은 참으로 풍성하ㄱ   
0,리니지,무소속,[만만] 리니지M 7악활 vs 9달장 vs 9사이하 최고의 활은?? 대미지 실험!,평균치는 사이하활.랜타치는 달장.옵션발동운은 악활인데.사스가 달장이 눕히는데는 좋은듯,2018-07-19T10:24:51Z,평균치는 사이하활  랜타치는 달장  옵션발동운은 악활인데  사스가 달장이 눕히는데는  좋은듯
0,로스트아크,무소속,[로스트아크] 일주일에 약 50만 골드 버는 방법,이거 요즘버전으로 제작해주시면 감사하겠습니다 ㅠ,2023-08-22T12:01:53Z,이거 요즘버전으로 제작해주시면 감사하겠습니다 
0,검은사막,BM,검은사막모바일[검은사막m]돌파확률 정상인가요???,태셋 맞추실때 무슨소리 하실려고.. 두개뜨셨으면 만족하시고 다음 강화 노립시다,2022-02-02T07:50:37Z,태셋 맞추실때 무슨소리 하실려고   두개뜨셨으면 만족하시고 다음 강화 노립시다
0,메이플,BM,[메이플스토리] 이런 일이 실제로 일어나던 2012년 메이플..     '하늘에서 여제템이' 사건,돈슨이 현질유도에 정신나간 시절에도 저런 무료 서비스를?ㄷㄷ,2023-08-28T23:37:38Z,돈슨이 현질유도에 정신나간 시절에도 저런 무료 서비스를 ㄷㄷ
0,검은사막,운영,"[검은사막X장서희] 전 복수전공 이고요, 이름은 노바예요",광고 미쳤네 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,2023-09-02T01:32:38Z,광고 미쳤네 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
0,메이플,게임성,[메이플스토리 맑음] 세피로트의 정원사 스토리 (차원의 도서관 신규 에피소드 7) 제른 다르모어의 숨겨진 과거 이야기 / 보이스 잘들림 / 잡부분 올스킵,재획용으로 딱보기 좋겠군,2023-10-27T23:54:54Z,재획용으로 딱보기 좋겠군
0,제2의나라,조작,[제2의나라]💯45분사냥만해도 명중90증가!!난했음 형두?할거야?(feat.파티생성및파티해산) 니노쿠니 二之國 Ni no Kuni CROSS WORLDS,오 좋은 정보 감사요~,2021-06-26T15:49:15Z,오 좋은 정보 감사요 
0,로스트아크,사운드,[로스트아크 l OST] 몽환의 아스탤지어(유저피셜 찬미버전) / Astalgia of Phantasm /LOST ARK Official Soundtrack,카멘 나왔지만..브금은 이거 못 이김;,2023-10-03T14:42:34Z,카멘 나왔지만   브금은 이거 못 이김 
0,로스트아크,무소속,커뮤니티에서 핫햇던 그 슬레이어 영상 공개합니다... [로스트아크],휴 난또 계속해서 딜사이클 돌려서 14억식뜨는줄알았네 편안,2023-02-05T23:10:50Z,휴 난또 계속해서 딜사이클 돌려서 14억식뜨는줄알았네 편안
0,검은사막,무소속,[검은사막 X 오연서] Episode 2. '15세이용가' 편,이 때만 해도 갓갓겜이었지,2021-08-01T13:39:11Z,이 때만 해도 갓갓겜이었지
0,메이플,조작,[메이플스토리 맑음] 한글날 데미지스킨 3종 리뷰 어떤 데미지스킨 받을까 고민 되시나요? 맥뎀(100억) / 속사 / 비맥뎀 / 노크리 (소울뎀) 완벽하게 고민 해결해드립니다,메이플체로 받을 걸ㅠㅠ...궁서체로 골랐는데 메이플체가 더 깔끔하고 이뻐보이네요,2018-10-09T16:11:33Z,메이플체로 받을 걸   궁서체로 골랐는데 메이플체가 더 깔끔하고 이뻐보이네요
0,배틀그라운드,조작,[배틀그라운드] 전 직업군인?! 배그에서도 총 잘쏘는 피지컬甲!  BJ우뚝!,군인이셧던거 까먹고잇엇어용 그땐 이렇게 멋진 남자린거 몰랏엇는데...헿,2018-08-06T04:45:41Z,군인이셧던거 까먹고잇엇어용 그땐 이렇게 멋진 남자린거 몰랏엇는데   헿
0,리니지,BM,[만만] 리니지M으로 인생망한 시청자분들의  거짓말같은 사연들#과금하고싶을때보세요,군인분..원양어선 대신 말섬가는 배타셨답니다..,2023-02-12T15:38:19Z,군인분  원양어선 대신 말섬가는 배타셨답니다  
0,리니지,사운드,"경기필하모닉 게임음악회 ""리니지""",아니 감동이라고 하기엔 너무 부족합니다,2023-05-11T00:58:49Z,아니 감동이라고 하기엔 너무 부족합니다
0,로스트아크,조작,[로스트아크] 직접 키워본 재미있는 직업 순위,본캐 알카유저인데 개인적으로 충모닉 달소리퍼 재밌음,2022-04-09T14:49:17Z,본캐 알카유저인데 개인적으로 충모닉 달소리퍼 재밌음
