labels,동영상 제목,댓글,댓글 작성일,PRO
0,현질이 너무 즐거운 게임 ㅋㅋ,웰컴투헬,2023-07-20T11:31:58Z,웰컴투헬
2,"환불 대행, 그거 진짜 돈 다 돌려받을 수 있는 건가요?",불법인지 모르고 동의해버렸는데 중도취소가 안되는거같은데 어쩌죠...?,2021-12-18T15:12:03Z,불법인지 모르고 동의해버렸는데 중도취소가 안되는거같은데 어쩌죠    
0,현질 300만원 합니다 | 센터로드TV,냠냠냠... 아니 와이프가 있다고????????????????????????????????????????????????????????????? 냠냠. 냠... 쇼크넹.. 냠..,2022-10-15T02:30:06Z,냠냠냠    아니 와이프가 있다고                                                              냠냠  냠    쇼크넹   냠  
0,현재 피파4 문제점 TOP5,이때 세브첸코랑 호나우두 지단 벤제마 다샀어야됬는데!!ㅜㅜㅋㅋ,2023-10-04T23:55:13Z,이때 세브첸코랑 호나우두 지단 벤제마 다샀어야됬는데  ㅜㅜㅋㅋ
0,현재 바람의나라:연 과금없이 스펙업 하는방법 총 정리,하.. 개어렵네요 개피곤하고 이러니 뉴비가 따라갈수있나 ㅜㅜ,2023-03-24T22:24:21Z,하   개어렵네요 개피곤하고 이러니 뉴비가 따라갈수있나 ㅜㅜ
0,현재 바람의나라:연 과금없이 스펙업 하는방법 총 정리,이제 바연 안할꺼예여 ㅠㅠ 보고싶어요!😂,2023-07-07T02:47:54Z,이제 바연 안할꺼예여 ㅠㅠ 보고싶어요  
0,현재 바람의나라:연 과금없이 스펙업 하는방법 총 정리,이제 바연 안할꺼예여 ㅠㅠ 보고싶어요!😂,2023-07-07T02:47:54Z,이제 바연 안할꺼예여 ㅠㅠ 보고싶어요  
0,화면설정 이거면 쌉고수 가능?! #모배 #PUBGM,저는 핸드폰유저인데 왜FPS가 고까지밖에 없나요?,2022-08-18T22:41:45Z,저는 핸드폰유저인데 왜FPS가 고까지밖에 없나요 
0,현재 뉴비에 미쳐버린 검은사막 근황,민교씨 이제 그마가자 승오바 올인 박는다 𖥺비𖥺제𖥺이𖥺뱃𖥺,2023-10-08T13:22:19Z,민교씨 이제 그마가자 승오바 올인 박는다  비 제 이 뱃 
0,현재 뉴비에 미쳐버린 검은사막 근황,민교씨 이제 그마가자 승오바 올인 박는다 𖥺비𖥺제𖥺이𖥺뱃𖥺,2023-10-08T13:22:19Z,민교씨 이제 그마가자 승오바 올인 박는다  비 제 이 뱃 
0,혼자서 6천딜 박고 다 패는 플레이 실전 강의 [베일드 엑스퍼트],서버는 스팀 넥슨 중에 어디가 낫나요?,2023-05-30T01:21:41Z,서버는 스팀 넥슨 중에 어디가 낫나요 
0,현재 뉴비에 미쳐버린 검은사막 근황,땅호리 슈퍼 꾸랙 플레이 개재밋넼ㅋㅋㅋ 배⚽︎팅하고 보니까 응원하게되네 🍢롤🍢뱃🍢,2023-10-22T16:16:14Z,땅호리 슈퍼 꾸랙 플레이 개재밋넼ㅋㅋㅋ 배  팅하고 보니까 응원하게되네  롤 뱃 
0,현재 뉴비에 미쳐버린 검은사막 근황,땅호리 슈퍼 꾸랙 플레이 개재밋넼ㅋㅋㅋ 배⚽︎팅하고 보니까 응원하게되네 🍢롤🍢뱃🍢,2023-10-22T16:16:14Z,땅호리 슈퍼 꾸랙 플레이 개재밋넼ㅋㅋㅋ 배  팅하고 보니까 응원하게되네  롤 뱃 
0,현재 뉴비에 미쳐버린 검은사막 근황,누가 설명 좀,2023-09-14T07:53:41Z,누가 설명 좀
0,현질했더니 랭커가 되어버렸습니다ㅋㅋㅋㅋㅋ (바람의나라 : 연),이게임 지금도하나요 머독님?,2020-12-01T08:19:59Z,이게임 지금도하나요 머독님 
0,현재 난리난 배틀그라운드 근황,전파 방해 배낭인데 자꾸 전파 배낭 가방이라고 해서 죄송합니다,2023-06-16T11:45:14Z,전파 방해 배낭인데 자꾸 전파 배낭 가방이라고 해서 죄송합니다
0,현질할거 없다고 속인뒤 마음것 현질했다 ㅋㅋ 무과금 VS 현질 로켓편,콰님 아스널 해주시면 안돼나여?,2022-10-16T09:32:25Z,콰님 아스널 해주시면 안돼나여 
0,현재 난리난 배틀그라운드 근황,비🪰제🪰이🪰벳 녹서스 왕관 먹고 피100 우승 스트리머 팔차선 경이로운 뇌지컬,2023-07-08T20:33:22Z,비 제 이 벳 녹서스 왕관 먹고 피100 우승 스트리머 팔차선 경이로운 뇌지컬
0,현재 난리난 배그 역대급 신모드(feat.좀비 스토리모드)🔥,🪜롤🪜뱃🪜아침 출근길에 부랴부랴 휴대폰을 꺼내서 게임방송 보며 배앳띵ㅎㅎ,2023-10-25T10:23:26Z, 롤 뱃 아침 출근길에 부랴부랴 휴대폰을 꺼내서 게임방송 보며 배앳띵ㅎㅎ
0,현재 난리난 메이플 보스 1초컷 영상,소잡는칼로 개미잡는건데완전,2023-11-04T09:47:41Z,소잡는칼로 개미잡는건데완전
0,현재 난리난 메이플 보스 1초컷 영상,마노가 필드보스잡다가 죽는 역할인가요?,2023-09-15T15:25:14Z,마노가 필드보스잡다가 죽는 역할인가요 
0,현금 1억 짜리 옵션 띄우고 뇌정지 온 메린이,"스포츠, 비제이, 까진호 다있네 𐦍롤𐦍뱃𐦍 개꿀이여",2023-10-16T17:53:09Z,스포츠  비제이  까진호 다있네  롤 뱃  개꿀이여
0,현금 1500만원..? 메이플로 번 돈 일부 수익공개합니다! 인증OK (EP..02)(게임으로 돈버는법),오 머찐님 ㅋㅋㅋㅋ 채널명도 바꾸셨네요!! ㅎㅇㅌ,2021-09-01T14:25:27Z,오 머찐님 ㅋㅋㅋㅋ 채널명도 바꾸셨네요   ㅎㅇㅌ
0,헬퍼 의심 받았던 백크 미친 무빙 #shorts,ㅠ 머리카락이랑 게임실력을 바꾸다니,2023-10-29T10:59:01Z,ㅠ 머리카락이랑 게임실력을 바꾸다니
0,헐~ 귀여운데 타격감까지? 당신 누구세연...?,또또는 보라해야돼,2019-07-19T15:44:14Z,또또는 보라해야돼
0,해킹으로 피파 계속 억까시키기ㅋㅋㅋ,형 팀뷰어가 다 보이는데?..,2023-08-09T20:26:36Z,형 팀뷰어가 다 보이는데   
0,해킹당했어요 도와주세요..,"13:50 미니언이 먼저냐 리액션이 먼저냐
결국 미니언이 먼저였어",2020-09-18T21:47:20Z,13 50 미니언이 먼저냐 리액션이 먼저냐 결국 미니언이 먼저였어
0,해킹 당했습니다..,라도가 또??,2020-03-31T15:21:21Z,라도가 또  
0,"해외에서 난리난 넥슨의 미친 신작 게임들 (더 파이널스, 워헤이븐, 문명 5 모바일)",워헤이븐 티저영상 배필1 티저 복붙으로 조롱받았었는데 참 오묘하네요,2022-10-03T06:56:40Z,워헤이븐 티저영상 배필1 티저 복붙으로 조롱받았었는데 참 오묘하네요
0,할 말 하겠습니다 EA 넥슨 진짜 이 영상 꼭 봐라,솔직히 모먼트 급여 43~45정도가 적당함 ㅋㅋㅋ,2023-07-20T08:59:46Z,솔직히 모먼트 급여 43 45정도가 적당함 ㅋㅋㅋ
0,한도 '1억' 메이플포인트 닉네임 경매가 나왔습니다ㄷㄷ [메이플스토리/명훈],으뜸기사 팔면  얼마일까?,2023-08-27T22:52:38Z,으뜸기사 팔면  얼마일까 
0,"한국 게임의 전설, 바람의 나라는 어떻게 몰락했을까",와! 바람 이번달시작한 유저인데요! 들어갓더니 53번째 나이 물어보는거있죠?😂😂😂 저는 몰락할때 한것일까요...,2023-04-12T10:04:04Z,와  바람 이번달시작한 유저인데요  들어갓더니 53번째 나이 물어보는거있죠     저는 몰락할때 한것일까요   
0,"한국 게임의 전설, 바람의 나라는 어떻게 몰락했을까",3d 폴리곤 범벅 이펙트로 신규 컨텐츠를 쌈싸먹기전까진 몰랐지 신버전이 선녀였단걸,2023-04-05T20:46:14Z,3d 폴리곤 범벅 이펙트로 신규 컨텐츠를 쌈싸먹기전까진 몰랐지 신버전이 선녀였단걸
0,하이퍼익스++ 사기 직업 추천드립니다[로스트아크],이랫던 그는 지금현재 모코코 에스토크4레벨 배를타고 원피스를 누비듯 로아바다를 돌고있다..,2023-10-07T06:01:47Z,이랫던 그는 지금현재 모코코 에스토크4레벨 배를타고 원피스를 누비듯 로아바다를 돌고있다  
0,하사신 그렇게 할거면 그냥 닌자를 해 임마! - 검은사막 #shorts,이거 아바타가뭔가요?,2023-08-12T08:35:20Z,이거 아바타가뭔가요 
0,하룻동안 레이드만 3번 당했습니다. (3일차),세병째에 3편 보러왔어...  완결은... 맨정신에 볼게...,2023-08-27T16:30:03Z,세병째에 3편 보러왔어     완결은    맨정신에 볼게   
0,"하루 100억 가능할까?? 역대급 수입, 핏빛 수도원 24시간 사냥하기 [검은사막]","와 사냥 1시간만 해도 졸려 뒤지는데 24시간을 어떻게 하지?
책상 밑에 망치로 발톱 때려 주는 알바라도 심어 놨나?",2022-07-26T06:10:43Z,와 사냥 1시간만 해도 졸려 뒤지는데 24시간을 어떻게 하지  책상 밑에 망치로 발톱 때려 주는 알바라도 심어 놨나 
0,하드보스를 노말로 만들어버리는 환산 9만대 극초고스펙 팬텀 보스순삭쇼ㄷㄷ;; [메이플스토리/명훈],쥴리는 역시 강하다 ㄷㄷ,2022-11-06T22:57:17Z,쥴리는 역시 강하다 ㄷㄷ
0,피파온라인에 35만원 현질을 해봤습니다,ㅇㅇㄹㅍㄱㅅㅈ,2023-05-17T07:59:13Z,ㅇㅇㄹㅍㄱㅅㅈ
0,피파온라인4 무작정 시작해 보기 왕 초보 뉴비 입문 가이드  [2023],이적시장 안 열려료 ㅠㅠㅠㅠㅠㅠ,2023-07-28T16:06:44Z,이적시장 안 열려료 ㅠㅠㅠㅠㅠㅠ
0,피파온라인3 은카트레이드 2번째 헤리케인 은카!!,"와...
케인 지리네요",2015-03-05T13:25:16Z,와    케인 지리네요
0,피파에서 삭제된 선수 TOP5,박정무는 생가가보다 좋은게 아니고 당시 굴리트 씹어먹는 능력치였음 ㅋㅋㅋ,2023-03-25T07:39:03Z,박정무는 생가가보다 좋은게 아니고 당시 굴리트 씹어먹는 능력치였음 ㅋㅋㅋ
0,피파에다가 무려 100만원 현질했습니다,d,2023-09-22T07:45:45Z,d
0,피파에다가 100만원 현질했습니다...,와 난 3만원해서 200떳는데,2023-05-25T02:43:47Z,와 난 3만원해서 200떳는데
0,피파에 진심인 친구들끼리 극한의 확률에 도전하는 1티어 선수 뽑기 챌린지ㅋㅋㅋㅋㅋ,그와중에 셰브첸코 국적 우크라이나인게 개웃기네,2023-09-13T14:37:26Z,그와중에 셰브첸코 국적 우크라이나인게 개웃기네
0,피파모바일 초보자 가이드,난 팀가치 9억인뎀 ㅎㅎ,2023-07-25T06:54:48Z,난 팀가치 9억인뎀 ㅎㅎ
0,피파모바일 새로운 레벨업패키지가 나왔다고? 그럼 사봐야지,카푸 선넘ㄴ,2022-01-28T04:12:09Z,카푸 선넘ㄴ
0,피파를 잘하고 싶다면 무조건 봐야 할 가장 기본적인 빌드업 강의 피파4,왜 봐도못할까 ㅠ,2023-05-07T03:18:40Z,왜 봐도못할까 ㅠ
0,피파를 잘하고 싶다면 무조건 봐야 할 가장 기본적인 빌드업 강의 피파4,띄어쓰기 칼같이 하는 거 뭔가 재밌넹ㅋㅋㅋ,2023-03-17T23:48:15Z,띄어쓰기 칼같이 하는 거 뭔가 재밌넹ㅋㅋㅋ
0,피파4 패키지 개 좋네 ㅋㅋㅋ,형 2500 fc 모았는데 머할까 이거 두개살까?,2023-10-28T15:12:41Z,형 2500 fc 모았는데 머할까 이거 두개살까 
0,피파4 파워슛 땅볼로 때리는 방법,패드로 파워슛하는법 알 수 있을까요?,2023-07-07T07:48:55Z,패드로 파워슛하는법 알 수 있을까요 
0,"피파4 크리티컬 강화 성공
(확률: 0.25%)",으윽..,2022-12-30T15:11:27Z,으윽  
1,현실판 왕초보 사냥터 | 원스토어 - 바람의나라: 연 사전예약 #오늘의광고,교주꺼 왜따라함?,2020-12-14T04:01:03Z,교주꺼 왜따라함 
1,현실판 왕초보 사냥터 | 원스토어 - 바람의나라: 연 사전예약 #오늘의광고,"아니 진용진이 아니고 로보티비가 원조임, 아예뺏겼구만",2020-12-19T23:41:40Z,아니 진용진이 아니고 로보티비가 원조임  아예뺏겼구만
0,피파4 컨디션 12시일때 능력치 몇 오르는지 알려드림,그럼 능력치에서 3~4% 증가 일거 같네요,2023-04-03T19:10:28Z,그럼 능력치에서 3 4  증가 일거 같네요
0,피파4 컨디션 12시일때 능력치 몇 오르는지 알려드림,공경은 그렇다쳐도 친선하는사람은 어떻게 알지.. 안보여주는거 같은데??,2023-04-06T09:26:23Z,공경은 그렇다쳐도 친선하는사람은 어떻게 알지   안보여주는거 같은데  
0,피파4 종료 공지 떴다 ㅋㅋㅋ,"Sㅔㅅ
 ㄱ ㅡ",2023-09-20T16:20:04Z,Sㅔㅅ  ㄱ ㅡ
0,피파4 이벤트 총정리,피시방 이벤트는 2시간도 충분한데 3시간은 진짜 ㄱ같노. 정무스바럼 생각이 있나없나 ㅡㅡ,2023-06-29T15:08:56Z,피시방 이벤트는 2시간도 충분한데 3시간은 진짜 ㄱ같노  정무스바럼 생각이 있나없나 ㅡㅡ
0,피파4 응밥해님 선을 너무 넘었습니다,ㅋㅋㅋㅋㅋㅋㅋㅋ,2022-08-23T12:00:00Z,ㅋㅋㅋㅋㅋㅋㅋㅋ
0,피파4 응밥해님 선을 너무 넘었습니다,삼가밥해의명복을빕니다,2023-01-15T10:45:05Z,삼가밥해의명복을빕니다
0,피파4 응밥해님 선을 너무 넘었습니다,밥해형 어디갔어 ㅠㅠ,2023-01-14T06:02:23Z,밥해형 어디갔어 ㅠㅠ
0,피파4 올해 최고의 이벤트 ㅋㅋㅋ,형 팀갈 언제 해야해?,2023-10-25T01:58:17Z,ㅋㅋㅋㅋㅋㅋㅋㅋ
0,피파4 실제로 본캐 1765억 먹은 역대급 이벤트 보상 지금부터 빨리 받으세요!!,다 망했는데 마일스톤에서 500억 먹음,2023-06-29T08:21:11Z,다 망했는데 마일스톤에서 500억 먹음
0,피파4 신규시즌 이거네요 ㄷㄷㄷ,이게 하다보면 주긴 주는 것 같아요.... 저는 카카 도전해봅니다! 믹슈형 나이스입니다!!!!,2023-10-25T07:23:34Z,이게 하다보면 주긴 주는 것 같아요     저는 카카 도전해봅니다  믹슈형 나이스입니다    
0,피파4 시세 공지사항 시세 변화 대규모 패치 총 정리,지금 팀 구매 해도 괜찮을까요?,2023-10-26T10:45:20Z,지금 팀 구매 해도 괜찮을까요 
0,피파4 새롭게 바뀐 점 TOP3,비1제1이1벳 혹시나 해서 소1액으로 해봤는데 츄웅전 환8전 개빠르네 ㅎㅎ,2023-10-09T08:46:47Z,비1제1이1벳 혹시나 해서 소1액으로 해봤는데 츄웅전 환8전 개빠르네 ㅎㅎ
0,피파4 새롭게 바뀐 점 TOP3,너희들이 하는 ㅃㅐ튕은 비제이뱃 여기에 다있을걸 안전하고 회원관리 잘해주고 최공,2023-10-09T08:46:50Z,너희들이 하는 ㅃㅐ튕은 비제이뱃 여기에 다있을걸 안전하고 회원관리 잘해주고 최공
0,피파4 사과보상 무조건 여기다 쓰세요 ㄷㄷ,화이트에서 반더벤 3카먹음ㄷㄷ,2023-10-29T02:40:12Z,화이트에서 반더벤 3카먹음ㄷㄷ
0,피파4 사과보상 떴다 ㅋㅋㅋ,형 실수 할 수 있지~,2023-10-27T13:46:34Z,형 실수 할 수 있지 
0,피파4 무과금 유저가 시작 하루만에 7조 벌어버린 황당한 사건ㅋㅋㅋ#shorts,난 이벤트팩으로 8카 2조 2천억짜리 먹음,2023-08-16T22:37:41Z,난 이벤트팩으로 8카 2조 2천억짜리 먹음
0,"피파4 무과금 1000억찍기, 0원부터 1000억에이전트 까지 몰아보기",저버롤 중버롤 고버롤) 오버롤 기준이뭘까요,2023-11-06T02:42:47Z,저버롤 중버롤 고버롤  오버롤 기준이뭘까요
0,피파4 멤버십 무조건 이거 사세요 ㄷㄷ,ㅎㅇ,2023-10-01T09:20:59Z,ㅎㅇ
0,피파4 돈 버는 법 역대급 꿀팁! 무과금 유저분들은 주목!! (200억BP 진짜 뜨네;;),급여 240 공지 떴어요,2023-05-23T09:46:39Z,급여 240 공지 떴어요
0,피파4 내일 준다는 미친 보상 ㅋㅋㅋ,이벤트 박살났는데 시세는 수쿠뿌리고 상점 열쇠 때문에 그런가?,2023-10-08T02:23:47Z,이벤트 박살났는데 시세는 수쿠뿌리고 상점 열쇠 때문에 그런가 
2,해킹피해 복구 받았습니다. 완전 복구!! 여러분 OTP 설정 꼭 하세요~!!,otp 설정안하다 해킹당하면 복구안시켜주나요..?,2020-03-30T18:27:45Z,otp 설정안하다 해킹당하면 복구안시켜주나요   
0,해킹피해 복구 받았습니다. 완전 복구!! 여러분 OTP 설정 꼭 하세요~!!,"오래전 영상이지만 질문 하나 드려도 될까요?
해킹당한 후 코인을 모았나요?혹시 모았다면 그 코인은 모은상태로 유지되었나요,아니면 없어졌나요?",2019-08-22T08:21:25Z,오래전 영상이지만 질문 하나 드려도 될까요  해킹당한 후 코인을 모았나요 혹시 모았다면 그 코인은 모은상태로 유지되었나요 아니면 없어졌나요 
0,피파4 귀속을 이제야 고치네 ㅋㅋㅋ,그럼 지금 rtn굴리트 떡락했는데 사는게 맞을까??,2023-10-26T10:25:29Z,그럼 지금 rtn굴리트 떡락했는데 사는게 맞을까  
0,피파4 개인기 대한민국 1등 실력,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2023-09-18T22:22:36Z,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
0,피파4 8월31일 신규시즌 출시 확정!,제목! 신구 선생님 시즌!,2023-08-30T05:41:01Z,제목  신구 선생님 시즌 
0,피파4 500만원 상자깡 드디어 하겠습니다...,⦻비⦻제⦻이⦻뱃⦻ 스타크레프트 배앳 하면서 경기보니까 왜이리 재밌음?,2023-09-11T11:53:03Z, 비 제 이 뱃  스타크레프트 배앳 하면서 경기보니까 왜이리 재밌음 
0,피파22 호나우지뉴 페이스온 만들기 | FIFA 22 FACE ON CUSTOMIZE | Ronaldinho | FC Barcelona | Brazil | 커리어모드,제발 히바우두….,2023-06-13T14:59:39Z,제발 히바우두  
0,피파19 스토리모드 챕터3 영화 같은 축구 이야기🐋 (FIFA 19 The Journey),옥냥님 혹시 오랜만에 섀도우버스 방송 가능하세요? 올만에 보고 싶네요,2018-09-30T14:40:43Z,옥냥님 혹시 오랜만에 섀도우버스 방송 가능하세요  올만에 보고 싶네요
0,피파19 스토리모드 챕터2 아스날 아트사커의 부활🎨 (FIFA 19 The Journey),그래픽이 왜 좋아요? 같은 19인데...,2018-10-28T13:15:05Z,그래픽이 왜 좋아요  같은 19인데   
0,피파19 스토리모드 챕터1 레알이 절 불렀다구요 레알?😱 (FIFA 19 The Journey),할아버지랑 손자랑 스코어까지 같은거 보소 ㅋㅋㅋ,2018-09-29T19:35:36Z,할아버지랑 손자랑 스코어까지 같은거 보소 ㅋㅋㅋ
0,"피파19 ""발리 몬스터"" 황희찬 | 2월 첫째주",음-메 페,2019-02-09T09:14:47Z,음 메 페
0,피파18 스토리모드 저니 챕터2. 레알마드리드로 가자!! - FIFA18,기절 세리머니 키 뭔가요?,2018-02-07T05:10:04Z,기절 세리머니 키 뭔가요 
0,피파18 손흥민vs일본선수 카드깡 외국인 반응비교,게임을 안해봐서 진짜 궁금해서 그런데... 혼다랑 손흥민이랑 카드 숫자로 보면 별 차이가 없는데 왜 손흥민 카드가 좋다는건가요?,2023-10-29T03:35:39Z,게임을 안해봐서 진짜 궁금해서 그런데    혼다랑 손흥민이랑 카드 숫자로 보면 별 차이가 없는데 왜 손흥민 카드가 좋다는건가요 
0,피파 확률 금카팩의 현실,ㅎㅎㅎ,2023-08-19T10:47:00Z,ㅎㅎㅎ
0,해외거주자도(유학생 등)샤넬가방 들고 한국 입국 할 때 관세를 내야하나요? 여행가서 현금으로 구매하면 세금이 덜 붙나요?,한국면세점서 고가 가방 구매한 외국거주자 입니다. 얼마나 있다 들고 한국입국하면 괜찮을까요?,2023-05-09T07:33:36Z,한국면세점서 고가 가방 구매한 외국거주자 입니다  얼마나 있다 들고 한국입국하면 괜찮을까요 
0,피파 본가 골 넣을 맛 나네,그와중에 베일 도플갱어 뭐지..?,2023-11-04T11:30:03Z,그와중에 베일 도플갱어 뭐지   
0,피파 계정 판매,1조계정 팝니다 선제시,2023-07-09T19:53:00Z,1조계정 팝니다 선제시
0,피파 150만원 상자깡!! 레전드 떴냐?!,롤드컵 국내 개최라 한국 프로들 계속 방송키면서 솔랭하네 ~ 배팅할꺼 개많다 🥱롤뱃🧍‍♀️,2023-10-21T08:39:31Z,롤드컵 국내 개최라 한국 프로들 계속 방송키면서 솔랭하네   배팅할꺼 개많다  롤뱃    
2,한국인의 99%가 알고있는 그 '브금' #shorts,자폭할셈이야?!,2023-11-08T14:39:02Z,자폭할셈이야  
0,프리 베일드 엑스퍼트 하이라이트#17 / FRE2 VEILED EXPERTS MONTAGE#17,선생님 이제 올릴때 됐잖아요 영상 올려주세요...,2023-10-18T06:20:01Z,선생님 이제 올릴때 됐잖아요 영상 올려주세요   
0,풀장비 풀잠재! 신의탑 콜라보 '밤'의 미친 딜량! 강자레이드 말그대로 녹여버리기!! 세븐나이츠 세나 코리R,아직도 방송하네,2018-05-29T19:35:42Z,아직도 방송하네
0,폭탄목걸이 걸린 로아 유저들 근황 [로스트아크],체력 작살나네....ㄷㄷ,2023-07-31T11:22:48Z,체력 작살나네    ㄷㄷ
0,포켓몬스터 크로스플레임 크로스썬더 옛날vs요즘 기술 연출 비교 #shorts,포켓몬은 디아루가-펄기아가 씹전성기고 블랙-화이트 때가 마지노선이엇음 그 뒤로는 근본 싹사라지고 무너짐,2023-10-29T10:14:18Z,포켓몬은 디아루가 펄기아가 씹전성기고 블랙 화이트 때가 마지노선이엇음 그 뒤로는 근본 싹사라지고 무너짐
0,포켓몬스터 크로스플레임 크로스썬더 옛날vs요즘 기술 연출 비교 #shorts,소드실드 진짜 개레전드다 와,2023-10-25T15:32:33Z,소드실드 진짜 개레전드다 와
0,포켓몬스터 크로스플레임 크로스썬더 옛날vs요즘 기술 연출 비교 #shorts,근데 예전꺼가 근본이라 더 좋음ㅋㅋㅋ,2023-10-24T14:28:09Z,근데 예전꺼가 근본이라 더 좋음ㅋㅋㅋ
0,포켓몬스터 크로스플레임 크로스썬더 옛날vs요즘 기술 연출 비교 #shorts,5세대가 유독 올려치기가 좀 심한거 같음 ㅋㅋ,2023-10-24T23:42:21Z,5세대가 유독 올려치기가 좀 심한거 같음 ㅋㅋ
0,펄어비스 시총 2조 증발 ㄷㄷ,〥비〥제〥이〥뱃〥 이번 롤드컵 여기서 누려봐야죠? ㅋㅋㅋ,2023-09-12T09:20:38Z, 비 제 이 뱃  이번 롤드컵 여기서 누려봐야죠  ㅋㅋㅋ
0,펄어비스 검은사막.. 이렇게 위험한 줄 몰랐다 ㅎㄷㄷ,나...나도 이랬지,2021-09-05T00:45:58Z,나   나도 이랬지
0,펄어비스 검은사막 부진? 펄어비스 과도한 하락의 뒷면 - 펄어비스 5분이면 다 해결됩니다!,최강주 대표 무료카톡방 : http://youtube-cgj.co.kr,2022-04-28T22:30:54Z,최강주 대표 무료카톡방   http   youtube cgj co kr
1,한 손으로 보스 잡는 흡혈 궁수ㅋㅋ [메이플스토리/명훈],와 보마다!!!!!! 심지어 엘리시움!!!!,2023-09-29T22:36:24Z,와 보마다       심지어 엘리시움    
1,한 손으로 보스 잡는 흡혈 궁수ㅋㅋ [메이플스토리/명훈],와 진짜 조용히 꿀빨고있는 직업들 개많았구나,2023-09-30T02:58:08Z,와 진짜 조용히 꿀빨고있는 직업들 개많았구나
0,'팬텀블레이드' PC버전 체험판 리뷰 화려한 액션 타격감 다크 무협 판타지 RPG 신작게임,"던파같이 온라인 형태는 맞는건가
모션도 부드럽고 재밌어보이네요.",2022-08-28T05:57:37Z,던파같이 온라인 형태는 맞는건가 모션도 부드럽고 재밌어보이네요 
0,팬들 엿 먹이는 엠버서더 TOP5 피파4,토레스 광고하는 토레슼ㅋㅋㄱㅋ,2023-11-05T04:53:57Z,토레스 광고하는 토레슼ㅋㅋㄱㅋ
