labels,name,theme,동영상 제목,댓글,댓글 작성일,PRO
0,배틀그라운드,그래픽,프로와 프로지망생들이 많이쓰는 해상도 1728 만드는법과 1920과 1728에 차이와 장점과 단점! 프로지망생이 다 알려줍니다. [배그 꿀팁],1728로 만들고 다했는데 왜 배그 인게임에서 안뜨죠 해결법아시나요?,2023-02-11T12:43:29Z,1728로 만들고 다했는데 왜 배그 인게임에서 안뜨죠 해결법아시나요 
0,제2의나라,BM,"【제2의 나라】 캐릭터 소개 영상 ""위치편"" 공개!",VS5DVT 추천 부탁합니당 ㅠㅠ,2021-06-05T02:37:35Z,VS5DVT 추천 부탁합니당 
0,제2의나라,BM,[제2의나라] 대만 서버 7시간 플레이 후 객관적인 리뷰[feat.4성무기..] 二之國/Ni no Kuni,Y3JKSS 우리 겜 같이해요! 초대코드 저한테 보내주시면 저도 추천할게요!,2021-06-08T21:11:37Z,Y3JKSS 우리 겜 같이해요  초대코드 저한테 보내주시면 저도 추천할게요 
0,제2의나라,BM,[제2의 나라] 넷마블의 초거대 신작게임!! 흥행할까? 트럭이 출동할까?,ZLYT3S친쿠 추천해주세요 ㅠㅠ,2021-05-02T07:38:48Z,ZLYT3S친쿠 추천해주세요 
0,제2의나라,BM,[제2의 나라] '덕'질에 진심인 분들을 찾습니다!,ZWJWJR 추천 부탁드려요!,2021-05-15T10:53:41Z,ZWJWJR 추천 부탁드려요 
0,제2의나라,BM,"【제2의 나라】 캐릭터 소개 영상 ""로그편"" 공개!",ZWJWJR 추천 부탁드립니다ㅠㅠ,2021-06-04T13:30:31Z,ZWJWJR 추천 부탁드립니다
0,제2의나라,BM,[제2의 나라] '비행기편' 영상 공개!,ZWJWJR 추천 부탁드립니다!,2021-04-15T14:26:14Z,ZWJWJR 추천 부탁드립니다 
0,메이플,BM,메이플로 현금 4억을 번 사람이 있다고? 메테크 피스하는법,갑자기 옛날영상이 추천영상뜨네.. 단발이뻐요,2022-11-23T07:45:23Z,갑자기 옛날영상이 추천영상뜨네   단발이뻐요
0,검은사막,BM,[검은사막] 중위권 사냥터에서 가이핀까지! 48가지 직업의 사냥터구간별 장단점을 간단히 정리해보았다.,그래도 검은사막은 성능보단 가슴이 시키는 캐릭을 하시길 추천드립니다.😊,2023-07-14T18:17:22Z,그래도 검은사막은 성능보단 가슴이 시키는 캐릭을 하시길 추천드립니다  
0,리니지,BM,리니지M PVP리덕션의 비밀을 알아냈습니다! 1000만원 사기 당함? 안당함?,노력에 추천 박고 갑니다..  이런영상은 정말 도건이 밖에 못한다,2022-04-21T23:21:08Z,노력에 추천 박고 갑니다    이런영상은 정말 도건이 밖에 못한다
0,메이플,운영,"[메이플] 신규반지, 크뎀링 효율 분석 및 이벤트링 교체 타이밍, 어떤 이벤트링을 써야 하는지 까지 이벤트링에 관한 모든 걸 정리해봤습니다.",1티어 3개 있고 드랍률 낮고 스텟도 낮으면 이벤트 반지 어떤걸로 받아야 되나요?,2023-10-05T17:01:21Z,1티어 3개 있고 드랍률 낮고 스텟도 낮으면 이벤트 반지 어떤걸로 받아야 되나요 
0,메이플,BM,[메이플스토리] 소마가 사냥이 편한이유,뇌빼는 사냥이 그리우시면 바이퍼 추천합니다. 단순하고 쎄면서도 스킬 한두개만 주구장창 씁미다,2023-07-09T13:33:55Z,뇌빼는 사냥이 그리우시면 바이퍼 추천합니다  단순하고 쎄면서도 스킬 한두개만 주구장창 씁미다
0,제2의나라,BM,[제2의 나라] 우리가 바라던 진짜 딜러! 배틀 스타일 업데이트,뉴비 캐릭추천 부탁드립니다,2022-06-27T03:31:52Z,뉴비 캐릭추천 부탁드립니다
0,검은사막,BM,"[검은사막] 전 직업 PVE 총 평가 영상, 각성직업 편! [파트 1]","뉴비임다 다크나이트 하고 있는데여전승, 각성 중에 뭐가 좋을까요?(다른 캐릭추천도 부탁드려요~)",2023-10-11T21:44:35Z,뉴비임다 다크나이트 하고 있는데여 전승  각성 중에 뭐가 좋을까요   다른 캐릭추천도 부탁드려요  
0,메이플,BM,사기캐 추천받으면 안 됩니다;; 《메이플 19년차 고인물이 알려주는 하이퍼버닝 직업추천》,뉴비한테 직업추천해주는거죠?근데 해방은 선넘는거아님니깤ㅋㅋㅋ,2023-01-16T16:01:08Z,뉴비한테 직업추천해주는거죠  근데 해방은 선넘는거아님니깤ㅋㅋㅋ
0,메이플,BM,"「하이퍼버닝 직업추천」 고인물이 알려주는 사냥&보스 [메이플스토리, 페이지]",다른 채널에선 비추천을 여기선 추천하네..,2023-07-18T01:20:01Z,다른 채널에선 비추천을 여기선 추천하네  
0,검은사막,BM,검은사막 아침의 나라 여행기,로아 VS 검사 한다면 뭐 추천함??참고로 저는 옛날에 마비노기 영웅전을 엄청 즐겁게 플레이 했던 유저입니다,2023-06-03T12:14:36Z,로아 VS 검사 한다면 뭐 추천함    참고로 저는 옛날에 마비노기 영웅전을 엄청 즐겁게 플레이 했던 유저입니다
0,리니지,그래픽,새로운 경험을 하다! 리니지에 상상초월 용 레이드 아우라키아! [태산군주],23년 된 게임이니... 그래픽 운운하는건 의미가 없는듯,2021-09-13T20:55:22Z,23년 된 게임이니    그래픽 운운하는건 의미가 없는듯
0,메이플,BM,"메이플 🍄2023년 45개 전직업 코멘트, 소개 & 추천 영상🍄",리부트 유니온 8500인데 비숍vs나로vs윈브 추천해주세요,2023-04-14T15:27:47Z,리부트 유니온 8500인데 비숍vs나로vs윈브 추천해주세요
0,검은사막,BM,[검은사막]리부트 각성 란 PVP   BDO reboot Lahn  Awaking PVP # 11,멋있읍니다 추천 두번 누르고 갑니다,2022-01-04T01:31:36Z,멋있읍니다 추천 두번 누르고 갑니다
0,메이플,BM,모험가 리마스터 기념 전직업 사냥 맛만 보았습니다 (메이플스토리),모험가 뭐 키울지 추천 좀 스킬 개간지나야됨,2022-01-20T23:30:14Z,모험가 뭐 키울지 추천 좀 스킬 개간지나야됨
0,메이플,BM,메이플스토리 구시대 전설들 충격적인 근황,뭔 이런 그지같이 지하고싶은말을 사실인것마냥 정확하지도 않은 내용을 싸지르냐 ㅋㅋㅋ 채널추천안함,2023-11-03T03:56:23Z,뭔 이런 그지같이 지하고싶은말을 사실인것마냥 정확하지도 않은 내용을 싸지르냐 ㅋㅋㅋ 채널추천안함
0,검은사막,BM,[검은사막] 전승 각성 직업 추천 뉴비 가이드,발컨님이 각성위치 추천 자주하셔서 뉴비 초시계로 골랐는데 각위치가 너무쉽고 쎄네요 찐뉴비인데 강추합니다.,2023-08-25T14:45:11Z,발컨님이 각성위치 추천 자주하셔서 뉴비 초시계로 골랐는데 각위치가 너무쉽고 쎄네요 찐뉴비인데 강추합니다 
0,리니지,조작,[리니지2M] 직업 클래스 변신 다 알려드림 / 디용TV,2년전에했다가 복귀했는데 매직캐논말고 오브같은 기존직업으로는 클체를 영원히 할수없나요?,2022-12-06T12:13:03Z,2년전에했다가 복귀했는데 매직캐논말고 오브같은 기존직업으로는 클체를 영원히 할수없나요 
0,메이플,BM,"타격감에 미친 사람들은 무조건 해야하는 ""그 직업"" 육성 『메이플』",본캐 메르세데스 추천합니다1. 경험치 15퍼가 그냥 있음2. 사냥하다 줄타도 빡치지 않음3. 이론상 무한 체공 가능 메르 하실?,2023-10-26T16:21:15Z,본캐 메르세데스 추천합니다 1  경험치 15퍼가 그냥 있음 2  사냥하다 줄타도 빡치지 않음 3  이론상 무한 체공 가능   메르 하실 
0,리니지,BM,[리니지M] 초심자를 위한 총사의 사냥 스킬 정리. (혈맹 상점 내용 포함),부케 추천좀해주세요.. 원거리는 총사인거같고.. 근거리는 뭘로할까요 렙60만찍고 다케릭 이벤트할려고합니다..,2022-07-27T03:31:31Z,부케 추천좀해주세요   원거리는 총사인거같고   근거리는 뭘로할까요 렙60만찍고 다케릭 이벤트할려고합니다  
0,메이플,BM,메이플스토리M 자본별 직업 추천★ 2023 최신버전!  (테라버닝은 종료),블래는 추천 안하나여 ㅜ,2023-10-01T05:42:05Z,블래는 추천 안하나여 
0,메이플,사운드,[1시간] 메이플 스토리 - 시간의 신전,빈아 나 오늘은 도저히 잠이안올거같아서 빈이가 추천해준 노래 들으면서 자보려고 꿈에서만나 빈아,2023-04-21T14:11:48Z,빈아 나 오늘은 도저히 잠이 안올거같아서 빈이가 추천해준 노래 들으면서 자보려고 꿈에서만나 빈아
0,리니지,BM,"[리니지m] 10월3주차 업데이트 뉴스 간단하게 정리(몬스터도감, 야구장시던, 제작 엄청 나왔음ㄷㄷ)",사과 추천하고 아덴증서 받긔 개꾸르 ㅎㅎ,2023-10-18T03:44:29Z,사과 추천하고 아덴증서 받긔 개꾸르 ㅎㅎ
0,검은사막,BM,각성 무사 사냥 데미지 증가아...... │검은사막 업데이트,상향 더 해줘야 해... ㅠㅠ 이래 상향해도 전승무사를 사람들이 더 추천해요,2023-06-13T15:08:15Z,상향 더 해줘야 해     이래 상향해도 전승무사를 사람들이 더 추천해요
0,메이플,BM,[메이플스토리] 소마가 사냥이 편한이유,소마랑 히어로 중에 뭐가나을까여 멋있는걸로 추천부탁드립니다,2023-07-03T13:49:45Z,소마랑 히어로 중에 뭐가나을까여 멋있는걸로 추천부탁드립니다
0,로스트아크,BM,로스트아크 【무도가 직업 추천】 현역 유저들이 직접 추천해 드립니다,26:01 ㅇㄱㄹㅇ 지인추천으로 유산스카 키우다가 정떨어져서 고급 배럭행됨,2023-01-04T08:20:06Z,ㅇㄱㄹㅇ 지인추천으로 유산스카 키우다가 정떨어져서 고급 배럭행됨
0,신의탑,BM,[신의탑M] 200뽑! 신의탑 오픈기념! 첫날 지갑도 오픈! 200뽑 가즈아!,아니 구독자가 도통 늘지를 않네 1년에 한번 추천뜨는데..,2022-05-01T17:10:53Z,아니 구독자가 도통 늘지를 않네 1년에 한번 추천뜨는데  
0,리니지,BM,리니지M 5전스 6영웅 20만원에 사서 복귀한 형님! 근데 뭔가 이상한데ㄷㄷ (진로상담 컨텐츠) 天堂M LineageM,악세 욕심 내면 노답계정되는거고 제작이나 지금 성패 쿠폰하나 받아서 3짜리 악세 끼우고 사냥하는걸추천 11월에 블프 패키지나 한두개 까고 ...,2023-09-24T05:00:48Z,악세 욕심 내면 노답계정되는거고 제작이나 지금 성패 쿠폰하나 받아서 3짜리 악세 끼우고 사냥하는걸추천 11월에 블프 패키지나 한두개 까고    
0,메이플,운영,리부트 패치 후 본캐 및 유니온 사냥터 1~200 [메이플/리부트],40 중반 ~ 50 후반 구간에 테마 던전을 택하지 않고 일반 사냥터를 갈만큼 수지 타산 상 효율이 나나요?,2023-09-11T07:20:30Z,40 중반   50 후반 구간에 테마 던전을 택하지 않고 일반 사냥터를 갈만큼 수지 타산 상 효율이 나나요 
0,검은사막,BM,[검은사막] 신규 클래스 '샤이' 시네마틱 트레일러 공개 (Shai - Cinematic Trailer),알고리즘 이녀석 혹시 이번 연회에 신캐 예상하고 추천 영상에 설마....!?,2020-12-05T23:17:29Z,알고리즘 이녀석 혹시 이번 연회에 신캐 예상하고 추천 영상에 설마      
0,검은사막,조작,"7950X3D, RTX4090 검은사막 4K 리마스터 풀옵션 가이핀 지하 사냥 프레임 측정",4090은 MMO게임하면 전기세 장난아니지않나요?,2023-04-16T03:32:40Z,4090은 MMO게임하면 전기세 장난아니지않나요 
0,신의탑,BM,신의탑 새로운세계 캐릭터 1티어 등급표 연이화 포함 최신버전 돌파&전용장비레벨까지 추천! [TOWER OF GOD NEW WORLD],에반 돌파하지 말라고 하는데 이유가 뭔가요???? 뽑기에서 에반이 하나더나와서 돌파를 하나 할수 있는데 하지 말지 아니면 추천스킬 좀 알려주실수 있을까요?,2023-09-14T01:29:54Z,에반 돌파하지 말라고 하는데 이유가 뭔가요     뽑기에서 에반이 하나더나와서 돌파를 하나 할수 있는데 하지 말지 아니면 추천스킬 좀 알려주실수 있을까요 
0,메이플,사운드,메이플스토리 BGM - 마가티아(Magatia),여기 퀘스트 지금도 있는데 꼭 해보시는걸 추천드립니다 진짜 메이플 내에 몇 안되는 탄탄하고 메시지가 명확한 퀘스트,2023-10-30T07:46:28Z,여기 퀘스트 지금도 있는데 꼭 해보시는걸 추천드립니다 진짜 메이플 내에 몇 안되는 탄탄하고 메시지가 명확한 퀘스트
0,검은사막,BM,"검은사막│업데이트 리뷰 9월 20일, 신규 메인퀘스트 사전퀘스트",여자 뉴비인데 직업 추천해주세요~,2023-09-20T13:13:11Z,여자 뉴비인데 직업 추천해주세요 
0,리니지,BM,"리니지2M - 현시점에서 캐릭은 사는게 좋지만, 새로 키우는 분들은 패키지 보다는 전설 장비 맞추는 재미로 하시길...",영상보면서  신규로 시작하려고 하는데 서버추천이나 계신 서버 혹은 거래소 활발한 서버 추천받을수 있ㄲ을까요?,2023-10-13T10:55:23Z,영상보면서  신규로 시작하려고 하는데 서버추천이나 계신 서버 혹은 거래소 활발한 서버 추천받을수 있ㄲ을까요 
0,메이플,BM,설정 하나로 메이플이 쾌적해진다!? 5분으로 끝내는 메이플 환경설정 꿀팁!!!,예전에 메모리 입출력 쓰면 램 녹는다고 이야기가 있어서 안쓰고 있었는데 요즘은 어떤가요?쓴다면 램의 반정도로 사용추천이라고 적혀있긴하던데,2023-09-20T07:55:09Z,예전에 메모리 입출력 쓰면 램 녹는다고 이야기가 있어서 안쓰고 있었는데 요즘은 어떤가요  쓴다면 램의 반정도로 사용추천이라고 적혀있긴하던데
0,검은사막,BM,[검은사막 샤이 연주] 콜드플레이(Coldplay) - Viva La Vida,와 다 보고갑니다 추천,2022-01-15T06:20:01Z,와 다 보고갑니다 추천
0,배틀그라운드,사운드,[배틀그라운드 공략] ※배그강의※ 적이 어디있는지 모른다구요? 사운드 플레이가 힘드시나요? 전부 알려드립니다 [핫스],와 진짜 많이 배웠어요 굉장히 큰 도움되는 영상이다 완전 추천 핫스님강의 초대박나길!!,2018-07-28T04:14:23Z,와 진짜 많이 배웠어요 굉장히 큰 도움되는 영상이다 완전 추천 핫스님강의 초대박나길  
0,리니지,BM,"[렌] [리니지M] 부캐릭 육성 우선순위 TOP5 / 개인적인 생각, 이유와 필수스킬 정리, 리세마라 이후의 사용방법 등! / 설명글 필수 참조!! 天堂m LineageM",요정 안하신다고 추천을 안하시네ㅋ업속도는 요정이 최고임ㅋ,2020-12-14T10:26:17Z,요정 안하신다고 추천을 안하시네ㅋ 업속도는 요정이 최고임ㅋ
0,검은사막,BM,검은사막(BDO) 각종 아이템 획득 증가 버프 총정리!,유물조합 만물박사 가격이 부담스러운 분은 신나는 여행 추천합니다,2023-02-13T05:29:43Z,유물조합 만물박사 가격이 부담스러운 분은 신나는 여행 추천합니다
0,신의탑,사운드,[TJ노래방] TOP(신의탑OST) - 스트레이키즈 / TJ Karaoke,으아아 이 댓글을 본 사람들이여 당장 네이버로 뛰쳐가 tj노래신청에 들어간다음 slump를 검색해서 추천을 눌러라 으어어,2020-10-21T00:43:23Z,으아아 이 댓글을 본 사람들이여 당장 네이버로 뛰쳐가 tj노래신청에 들어간다음 slump를 검색해서 추천을 눌러라 으어어
0,리니지,BM,"[리니지M] 엔씨에서 연락이 왔네요, 저를 추천해주셨던 모든 분들 죄송합니다. (빛나는 아덴 용사들 이벤트 당첨 결과 / 의문)",이런이벤트는 추천이 아니라 모든유저 추첨으로해야지,2023-10-24T03:53:45Z,이런이벤트는 추천이 아니라 모든유저 추첨으로해야지
0,검은사막,BM,[검은사막] 초보자 추천 직업 5가지! (2022년 하반기 버전!),"이번에 시작하려는 뉴비인데요 항상 하면 찍먹만 해봤거든요 노바, 매화 제외 캐릭터 추천 해주실수 있을까요 여케 로요",2022-12-30T10:32:34Z,이번에 시작하려는 뉴비인데요 항상 하면 찍먹만 해봤거든요 노바  매화 제외 캐릭터 추천 해주실수 있을까요 여케 로요
0,제2의나라,BM,"무과금 소과금! 배경무기, 배경 이마젠 선택 가이드! [테일이의 제2의나라]",이번에 시작한 유전데 사냥 위주로 하려고 합니다. 직업 추천해주세요!!,2021-09-28T11:54:02Z,이번에 시작한 유전데 사냥 위주로 하려고 합니다  직업 추천해주세요  
0,제2의나라,BM,넷마블 제2의 나라 🌈Ecosmile 이벤트!,이벤트 추천인 ZSW5DB,2021-05-08T05:49:37Z,이벤트 추천인 ZSW5DB
0,로스트아크,BM,"로스트아크 직업 추천 ""요즘 대세 직업은?"" (플레이 영상 포함)",인파 설명 진짜 정확하네 뉴비추천캐로 키웠다가 고점 바라보게 되면 엄청 후회함 ㅋㅋㅋ,2023-10-05T20:59:38Z,인파 설명 진짜 정확하네 뉴비추천캐로 키웠다가 고점 바라보게 되면 엄청 후회함 ㅋㅋㅋ
0,메이플,BM,"[메이플] 일반 서버와 리부트 서버의 차이점은 뭐가 있을까? - S_Hee석희 [거래, 자급자족]",일반섭이 메이플 본연의 맛 ...?메이플을 추억 삼아서 하는 거면 리부트 추천 드립니다!,2021-12-29T02:30:12Z,일반섭이 메이플 본연의 맛      메이플을 추억 삼아서 하는 거면 리부트 추천 드립니다 
0,메이플,BM,"「전직업 스킬 변경점」 3차 테스트 서버 밸패 요약 [메이플스토리, 페이지]",자꾸 똑같은 이상한 글 똥싸는 댓글봇들 끼리 추천 매크로 까지 하는거냐..?,2023-08-03T21:57:34Z,자꾸 똑같은 이상한 글 똥싸는 댓글봇들 끼리 추천 매크로 까지 하는거냐   
0,제2의나라,BM,8월 19일 업데이트 및 이벤트 패키지 효율 리뷰! [테일이의 제2의나라],정리 야무지게 하시네요  상품 추천이나 비추 포인트에 공감가는 바가 많아서 재밌게 봤어요 ㅋㅋ,2021-08-20T00:28:05Z,정리 야무지게 하시네요  상품 추천이나 비추 포인트에 공감가는 바가 많아서 재밌게 봤어요 ㅋㅋ
0,신의탑,BM,"【신의 탑 R,SR치트키 3종】 안경녀에 이은 히트캐 공개? 이거면 에반 없이 버틸수 있습니다! | 신의탑 새로운 세계","지금 무자본으로 자하드, 하츠, 밤, 라크, 십이수 쓰고 있는데 십이수보다 안경녀가 더 좋을까요? 그리고 소환상점 ssr 확률증가 5개픽을 추천해주실수 있을까요?",2023-08-02T12:01:33Z,지금 무자본으로 자하드  하츠  밤  라크  십이수 쓰고 있는데  십이수보다 안경녀가 더 좋을까요   그리고 소환상점 ssr 확률증가 5개픽을 추천해주실수 있을까요 
0,리니지,BM,"【리니지w】초보자, 무소과금 필수꿀팁 8가지 [직업추천, 변신획득법, 설정법, 몬스터체력바]",직업추천 요정보고 안봄누가 리니지에서 요정을 추천해요 아이고 ㅠㅠ몰라도 너무 모르시네,2021-11-05T00:13:39Z,직업추천 요정보고 안봄 누가 리니지에서 요정을 추천해요 아이고 몰라도 너무 모르시네
0,로스트아크,BM,로아 직업 선택 한번에 해결해 드립니다 | 뉴비 추천! [로스트아크],직업추천보단 포지션 설명인덧 ㅋㅋ,2022-12-30T00:56:14Z,직업추천보단 포지션 설명인덧 ㅋㅋ
0,메이플,운영,빅뱅 이전의 메이플스토리🍁 아르테일 개발진 룰루&카호 인터뷰 (feat. 업데이트 스포 있음!)  [ MSW Select | 메이플스토리 월드 ],8090년생들의 희망이다 ㅎㅎ,2023-09-18T17:34:22Z,8090년생들의 희망이다 ㅎㅎ
0,메이플,조작,메이플월드 아르테일 정식 81페이지 표창득해보자..!!~~ / 넥슨 메이플월드 아르테일 옛날메이플,81렙까지 순수사냥시간으로 얼마나 걸리셨나요?,2023-09-10T17:47:44Z,81렙까지 순수사냥시간으로 얼마나 걸리셨나요 
0,리니지,BM,"[만만] 바람의 나라:연 1부 북한 리니지 인가요? with무엔터, 단아냥, 파퀴",직접 편집이신가? 아니면 해고 추천,2020-07-19T12:29:17Z,직접 편집이신가  아니면 해고 추천
0,리니지,BM,리니지2M - 전설연금 총 11회 도전!!! 확률은 정말 어마무시합니다!!,8헤르문쿠스 망토 상급연급 조합식좀 알려주세요 뭐나오나요~,2023-05-11T03:50:20Z,8헤르문쿠스 망토 상급연급 조합식좀 알려주세요 뭐나오나요 
0,검은사막,BM,"검은사막M] 콘텐츠별 추천 클래스 BEST 7 | 전이 캐릭터 직업 추천 |  BlackDesertMobile, BDM (23.08.30)",초보한테 이그니우스 추천할만한가요?,2023-10-03T09:55:50Z,초보한테 이그니우스 추천할만한가요 
0,리니지,BM,[리니지m] 추석 이벤트 간단하게 정리! 홈페이지 이벤트도 하긴해야..(고정 댓글에 사이트 링크 있습니다),추천 가 즈 아 ~~~,2023-09-28T03:08:26Z,추천 가 즈 아    
0,리니지,BM,[리니지M] 오늘 안하면 절대 안됩니다! 스펙업 할 수 있는 마지막 기회 (10월 11일 업데이트 전 체크리스트),추천 했어요 !! 믿습니다 !! 홧팅 !!,2023-10-10T09:28:51Z,추천 했어요    믿습니다    홧팅   
0,제2의나라,BM,"""제2의 나라: Cross Worlds"" 티저 영상 최초 공개!",추천코드 MTRB7Z,2021-04-14T05:34:08Z,추천코드 MTRB7Z
0,제2의나라,BM,'제2의 나라'를 가장 빠르고 안전하게 즐길 수 있는 방법!,컴터로 모바일게임 많이하는 기자님 추천이면 앞광고도 믿을만하지 ㅇㅇ,2021-06-21T13:55:11Z,컴터로 모바일게임 많이하는 기자님 추천이면 앞광고도 믿을만하지 ㅇㅇ
0,로스트아크,BM,[로스트아크] 밸런스패치후 본섭 버스트 가이드ㅣSurge guide after balance patch,킹가루님  세팅 바꿔야 하는데잔재  버스트 추천  부탁드려도 될까요?,2023-10-21T01:16:21Z,킹가루님  세팅 바꿔야 하는데 잔재  버스트 추천  부탁드려도 될까요 
0,검은사막,BM,"[검은사막] 여름시즌 육성 추천직업 10가지, 파트2 (늦어서 죄송합니다 ㅎ)",토친님 잘보고있습니다ㅎㅎ 이번 환상마로 진짜 입문각을 잡아보려고 하는데 혹시 각성노바는 이제 추천직업영상에서 잘 안보이던데 제외된 이유를 알수있을까요?😂,2023-07-05T02:20:02Z,토친님 잘보고있습니다ㅎㅎ 이번 환상마로 진짜 입문각을 잡아보려고 하는데 혹시 각성노바는 이제 추천직업영상에서 잘 안보이던데 제외된 이유를 알수있을까요  
0,리니지,BM,리니지2레볼루션 무과금 직업추천 케릭터 TOP5,투력차 많이 나도 자사딸수있는 강력한 직업 추천부탁드립니다 물공캐로 부탁드릴게요,2020-04-17T05:54:56Z,투력차 많이 나도 자사딸수있는 강력한 직업 추천부탁드립니다 물공캐로 부탁드릴게요
0,메이플,BM,메이플 원탑 극딜 직업,풀영상 유도 = 비추 + 채널추천안함,2023-07-13T10:42:10Z,풀영상 유도   비추   채널추천안함
0,메이플,BM,메이플M이 망하지 않는 이유2,형 저 메이플 처음 시작할려고 하는데 다크나이트 vs섀도우 추천좀해주세요 뭘로 키울지70분째 생각 하다가 껏서요ㅠㅠ,2023-06-09T14:03:29Z,형 저 메이플 처음 시작할려고 하는데 다크나이트 vs섀도우 추천좀해주세요 뭘로 키울지70분째 생각 하다가 껏서요
0,배틀그라운드,BM,배그 애스터마틴 최고급 꾸러미 8개 상자깡,혹시 V12를 추천하시나용 DBX707을 추천하시나여,2023-09-05T09:06:08Z,혹시 V12를 추천하시나용 DBX707을 추천하시나여
0,배틀그라운드,그래픽,자낳괴의 결말 - 배틀그라운드,i7-3770 램 16GB CPU는 모르겟고요 그래픽카드 1050TI로 바꿀건데 배그 렉 없이 가능할까요,2017-09-25T08:07:25Z,i7 3770 램 16GB CPU는 모르겟고요 그래픽카드 1050TI로 바꿀건데 배그 렉 없이 가능할까요
0,메이플,BM,메이플 2023ver. Lv.1~200 확실한 유자본 폭업 사냥터 추천!!,혹시 만약 Lv200 이상 유저들 같은 경우에는 추천해주실 사냥터가 있는지요? 아! 참고로 저는 전. 버닝 현. 베라? 서버 의 플레임위자드 Lv209? 유저 입니다.,2023-09-05T01:54:49Z,혹시 만약 Lv200 이상 유저들 같은 경우에는 추천해주실 사냥터가 있는지요  아  참고로 저는 전  버닝 현  베라  서버 의 플레임위자드 Lv209  유저 입니다 
0,로스트아크,BM,로아 직업 선택 한번에 해결해 드립니다 | 뉴비 추천! [로스트아크],홀나를 추천을하네?,2023-01-11T06:31:19Z,홀나를 추천을하네 
0,검은사막,BM,진정한 국산게임의 자존심! 검은사막 아침의 나라 리뷰,휘바는 보고간다그리고 추천은 자동이다난 그렇다 ㅎ,2023-06-05T22:18:01Z,휘바는 보고간다 그리고 추천은 자동이다 난 그렇다 ㅎ
0,제2의나라,운영,지브리 감성으로 꼬시고 운영이 개판이네? [제2의나라] 리뷰 후기,100일 이벤트는 언제...,2021-09-11T18:15:25Z,100일 이벤트는 언제   
0,제2의나라,BM,【제2의나라】📣대망의 첫업데이트!! 6.24 업데이트 상세리뷰 [다이아보상 + 신규스킬 + 혜자이벤트 + 불범이마젠 + 편의개선],100회확정은 그냥 4성이고200회확정에서 50%확률로 나오는거에요,2021-06-24T12:51:15Z,100회확정은 그냥 4성이고 200회확정에서 50확률로 나오는거에요
